0.85,17.45
23.5,15.2
15.2,24.75
18.0,20.95
19.2,21.95
15.8,21.35
7.1,18.65
14.15,26.9
21.5,15.5
17.2,24.8
11.65,26.85
23.0,18.0
12.75,22.05
22.4,16.5
3.9,21.85
13.75,22.0
15.15,24.2
17.0,26.85
20.1,21.6
21.4,25.85
16.6,21.15
6.05,22.3
7.2,14.5
11.2,22.8
12.45,27.55
27.65,15.65
21.3,22.3
5.35,15.85
14.2,22.15
6.55,21.8
24.5,14.7
14.05,21.4
16.55,27.1
23.95,17.75
4.9,15.65
5.25,14.2
10.15,27.7
17.55,25.2
2.9,21.15
13.15,21.85
13.3,27.85
23.75,20.2
5.1,17.9
23.1,14.6
22.9,23.65
18.25,20.2
9.75,25.5
23.15,24.1
21.6,16.3
12.6,23.1
0.75,15.6
4.4,20.05
7.05,19.9
13.95,22.7
3.3,15.45
19.45,19.05
17.45,20.75
4.6,18.25
23.15,19.05
7.65,16.5
18.0,22.3
13.7,27.75
19.45,22.1
4.05,18.75
12.15,21.45
25.5,19.45
4.55,23.9
25.9,17.55
14.4,22.65
22.25,18.1
17.7,24.85
22.05,20.25
23.5,19.8
19.15,25.35
21.65,17.25
3.4,19.7
5.5,21.8
5.85,20.55
14.05,26.55
25.15,19.8
18.6,22.25
5.1,24.4
20.95,18.25
19.25,18.7
5.2,23.4
21.55,16.7
3.1,21.85
13.25,23.5
20.1,20.9
12.2,20.9
8.1,26.35
18.8,24.7
14.1,21.75
19.9,20.35
24.25,22.85
9.2,21.1
24.05,14.9
24.7,3.85
38.6,11.75
36.7,9.15
27.2,3.0
32.0,7.0
25.45,3.15
35.25,6.25
24.45,6.15
40.4,12.05
20.45,5.15
21.9,8.2
37.95,11.85
15.15,12.05
20.95,6.2
17.35,15.45
18.9,8.5
35.3,9.4
17.3,9.7
34.9,9.0
32.6,6.95
17.2,13.5
29.15,4.4
40.7,16.45
30.6,3.4
20.3,8.9
26.85,4.95
32.75,4.85
20.0,8.9
36.5,7.4
26.6,4.9
15.95,16.45
16.25,14.95
19.8,9.95
23.45,5.95
32.5,7.95
14.75,15.1
36.75,7.25
20.9,6.6
38.25,17.35
17.45,10.4
16.85,14.3
18.9,12.05
28.8,4.7
38.5,12.2
34.55,7.85
23.75,5.95
26.85,4.4
32.9,4.15
30.65,5.85
24.55,4.0
17.7,9.85
19.4,8.85
32.65,6.6
24.6,6.45
16.5,12.2
21.05,7.0
25.1,3.25
19.95,8.3
20.5,6.35
30.05,3.45
17.85,7.55
17.15,15.1
22.4,4.55
39.0,16.6
37.7,10.8
35.9,9.35
33.75,5.95
17.8,14.2
22.15,5.05
22.45,5.3
38.85,15.5
19.1,9.55
39.0,13.2
18.7,11.25
32.7,4.6
36.1,8.1
23.65,7.2
14.3,15.75
23.25,3.85
34.45,5.8
37.35,11.4
37.9,7.65
37.6,7.35
37.45,11.15
16.95,12.35
20.4,7.0
16.05,11.9
16.95,9.7
29.75,3.45
14.15,17.35
20.55,8.8
38.3,14.6
31.65,6.55
25.6,3.9
32.35,6.1
37.5,13.4
36.6,9.8
38.4,9.45
38.75,16.85
33.35,7.45
34.85,7.0
18.6,12.5
28.6,5.75
21.85,6.65
37.25,10.15
35.8,7.1
16.7,11.4
24.7,4.3
17.3,14.9
26.2,4.4
17.6,10.15
24.35,5.35
40.2,12.8
38.15,9.7
39.65,16.2
26.85,2.95
36.3,10.7
23.2,5.3
21.85,8.5
17.55,8.1
36.9,9.75
16.6,14.05
17.0,14.6
29.05,4.55
31.5,6.25
24.95,3.35
17.0,15.65
28.8,4.05
40.45,14.5
19.05,8.85
15.9,13.2
39.3,14.2
41.3,15.3
18.05,11.9
38.95,12.9
21.95,4.8
36.4,10.15
18.7,7.65
36.75,10.85
32.55,5.8
35.75,10.0
34.1,7.15
40.45,16.3
16.25,12.5
36.15,8.4
19.35,8.2
25.15,4.1
16.9,15.35
38.35,10.5
33.35,5.65
22.9,4.0
22.3,7.7
18.65,6.9
34.1,5.0
39.9,17.05
25.85,3.6
24.1,7.0
17.25,13.15
25.3,5.75
19.15,6.65
14.3,16.8
21.4,8.8
19.3,7.0
39.25,15.5
25.2,6.55
16.65,10.9
26.05,6.4
39.75,12.75
17.45,14.15
24.2,4.0
27.15,3.15
21.2,8.8
29.45,4.05
23.55,4.2
29.2,4.0
38.0,12.95
17.1,12.75
35.05,8.0
16.0,14.25
17.3,11.2
22.5,6.15
27.95,3.25
22.7,5.5
17.7,15.0
38.05,14.45
20.1,6.05
23.3,4.9
37.65,11.95
19.1,6.85
36.6,6.7
37.85,14.5
38.5,14.25
17.95,10.9
29.9,4.45
17.1,14.0
36.8,12.2
17.6,13.85
37.25,12.15
22.8,4.1
18.2,8.35
29.25,6.3
19.3,9.1
28.75,5.45
37.0,11.75
26.0,4.25
36.0,9.65
29.4,4.85
40.6,15.25
30.75,4.45
21.3,5.05
27.55,5.1
26.4,5.7
27.15,5.95
27.5,5.45
22.95,4.75
23.45,3.6
16.75,9.65
40.2,14.8
38.3,16.5
22.45,4.9
24.9,4.75
16.65,16.1
18.4,10.05
40.55,13.15
35.95,7.9
23.8,3.65
34.65,5.65
20.95,5.55
15.35,15.5
33.6,5.25
37.15,12.55
17.5,8.3
21.1,8.0
34.45,7.3
16.5,17.05
30.0,6.55
15.2,11.7
37.3,13.0
39.5,11.8
32.35,4.25
39.2,12.35
27.3,5.45
40.45,12.5
17.15,16.3
34.35,7.75
17.35,17.05
34.7,7.2
38.35,14.35
33.4,6.2
32.55,6.35
32.2,5.05
41.25,16.8
40.95,15.7
16.95,11.25
40.95,17.05
39.55,12.3
23.0,5.6
35.5,8.05
18.35,6.95
34.1,4.6
23.8,4.75
30.8,3.95
30.9,5.2
30.4,4.05
16.5,15.15
34.65,6.25
29.5,4.7
27.95,3.5
39.5,16.95
34.35,6.8
39.9,16.2
31.05,3.95
30.7,6.15
22.6,6.7
18.6,7.85
40.65,14.9
